Referência;Descrição;Marca;Prestadora;O.P.;Peças;LT;Ini. O.P.;Ini. Fase;Movimentado;Tipo O.P.;Entrega;Prioridade;Observação
REST1525.2;CALÇA RETA BICOLOR;RITMI STUDIO;33419 - INTERNO RITMI;28236;31;81;08/01/2026;18/02/2026;27/02/2026;Normal;;;SEM06
REST1525.2;CALÇA RETA BICOLOR;RITMI STUDIO;33419 - INTERNO RITMI;28236;2;81;08/01/2026;18/02/2026;02/03/2026;Normal;;;SEM06
REST1525.2;CALÇA RETA BICOLOR;RITMI STUDIO;33419 - INTERNO RITMI;28236;16;81;08/01/2026;18/02/2026;03/03/2026;Normal;;;SEM06
REST1526;BLUSA C/ FRANZIDOS NO OMBRO;RITMI STUDIO;40522 - LIKA ACABAMENTOS LTDA;28257;99;77;12/01/2026;02/02/2026;12/02/2026;Normal;;;
REST1528.1;BLUSA ASSIMETRICA;RITMI STUDIO;40522 - LIKA ACABAMENTOS LTDA;28249;132;80;09/01/2026;03/02/2026;12/02/2026;Normal;;;SEM06
REST1528.2;CALÇA C/ CÓS DE ELASTICO;RITMI STUDIO;40522 - LIKA ACABAMENTOS LTDA;28240;132;80;09/01/2026;04/02/2026;12/02/2026;Normal;10/02/2026;;SEM06
REST1530;MACACAO AMPLO C/ PESP;RITMI STUDIO;33419 - INTERNO RITMI;28304;106;70;19/01/2026;12/02/2026;12/02/2026;Normal;;;sem.06
REST1530;MACACAO AMPLO C/ PESP;RITMI STUDIO;33419 - INTERNO RITMI;28578;6;46;12/02/2026;13/02/2026;20/02/2026;Normal;;A (Normal);
REST1531;CALÇA DE ALFAIATARIA COM GORGURÃO LATERAL;RITMI STUDIO;40522 - LIKA ACABAMENTOS LTDA;28137;102;103;17/12/2025;03/02/2026;03/02/2026;Normal;;;sem.05
REST1532;VESTIDO MANGA CURTA MALHA CANELADA;RITMI STUDIO;2 - RITMI CONFECCOES LTDA;28212;72;83;06/01/2026;28/01/2026;29/01/2026;Normal;;;
