Referência;Descrição;Marca;Prestadora;O.P.;Peças;LT;Ini. O.P.;Ini. Fase;Movimentado;Tipo O.P.;Entrega;Prioridade;Observação
REST1589;SHORT SAIA COM DETALHE EM PREGAS;RITMI STUDIO;33419 - INTERNO RITMI;28396;80;59;30/01/2026;24/02/2026;24/02/2026;Normal;;;sem.08
REST1591;CAMISA MANGA LONGA COM GRAVATA;RITMI STUDIO;33419 - INTERNO RITMI;28556;53;47;11/02/2026;02/03/2026;03/03/2026;Normal;;;sem.09
REST1591;CAMISA MANGA LONGA COM GRAVATA;RITMI STUDIO;33419 - INTERNO RITMI;28556;18;47;11/02/2026;02/03/2026;04/03/2026;Normal;;;sem.09
REST1591;CAMISA MANGA LONGA COM GRAVATA;RITMI STUDIO;33419 - INTERNO RITMI;28556;28;47;11/02/2026;02/03/2026;09/03/2026;Normal;;;sem.09
REST1591;CAMISA MANGA LONGA COM GRAVATA;RITMI STUDIO;33419 - INTERNO RITMI;28556;1;47;11/02/2026;02/03/2026;10/03/2026;Normal;;;sem.09
REST1591;CAMISA MANGA LONGA COM GRAVATA;RITMI STUDIO;33419 - INTERNO RITMI;28556;4;47;11/02/2026;02/03/2026;16/03/2026;Normal;;;sem.09
REST1592;REGATA DE ALÇAS COM RENDA;RITMI STUDIO;33419 - INTERNO RITMI;28513;47;49;09/02/2026;06/03/2026;10/03/2026;Normal;;E (Estamparia);ER...sem.09
REST1593;TOP BÁSICO DE RENDA;RITMI STUDIO;40473 - TIMBE - RITMI CONFECCOES;28846;84;31;27/02/2026;18/03/2026;25/03/2026;Normal;;CALANDRAR;CL. ENTRE
REST1595.1;TSHIRT BÁSICA CANELADA;RITMI STUDIO;33419 - INTERNO RITMI;28940;10;25;05/03/2026;05/03/2026;12/03/2026;Normal;;A (Normal);
REST1595.1;TSHIRT BÁSICA CANELADA;RITMI STUDIO;33419 - INTERNO RITMI;28624;70;45;13/02/2026;05/03/2026;05/03/2026;Normal;;;SEM10
REST1595.1;TSHIRT BÁSICA CANELADA;RITMI STUDIO;33419 - INTERNO RITMI;28624;21;45;13/02/2026;05/03/2026;06/03/2026;Normal;;;SEM10
REST1595.1;TSHIRT BÁSICA CANELADA;RITMI STUDIO;33419 - INTERNO RITMI;28624;3;45;13/02/2026;05/03/2026;09/03/2026;Normal;;;SEM10
REST1595.1;TSHIRT BÁSICA CANELADA;RITMI STUDIO;33419 - INTERNO RITMI;28624;2;45;13/02/2026;05/03/2026;10/03/2026;Normal;;;SEM10
REST1595.1;TSHIRT BÁSICA CANELADA;RITMI STUDIO;33419 - INTERNO RITMI;28624;20;45;13/02/2026;05/03/2026;11/03/2026;Normal;;;SEM10
REST1595.1;TSHIRT BÁSICA CANELADA;RITMI STUDIO;33419 - INTERNO RITMI;28624;4;45;13/02/2026;05/03/2026;12/03/2026;Normal;;;SEM10
REST1595.1;TSHIRT BÁSICA CANELADA;RITMI STUDIO;33419 - INTERNO RITMI;28624;2;45;13/02/2026;05/03/2026;13/03/2026;Normal;;;SEM10
REST1595.1;TSHIRT BÁSICA CANELADA;RITMI STUDIO;33419 - INTERNO RITMI;28624;3;45;13/02/2026;05/03/2026;16/03/2026;Normal;;;SEM10
REST1595.1;TSHIRT BÁSICA CANELADA;RITMI STUDIO;33419 - INTERNO RITMI;28624;10;45;13/02/2026;05/03/2026;18/03/2026;Normal;;;SEM10
REST1595.2;CALÇA BÁSICA CANELADA;RITMI STUDIO;33419 - INTERNO RITMI;28625;81;45;13/02/2026;11/03/2026;12/03/2026;Normal;;;SEM10
REST1595.2;CALÇA BÁSICA CANELADA;RITMI STUDIO;33419 - INTERNO RITMI;28625;2;45;13/02/2026;11/03/2026;13/03/2026;Normal;;;SEM10
REST1595.2;CALÇA BÁSICA CANELADA;RITMI STUDIO;33419 - INTERNO RITMI;28625;6;45;13/02/2026;11/03/2026;16/03/2026;Normal;;;SEM10
REST1595.2;CALÇA BÁSICA CANELADA;RITMI STUDIO;33419 - INTERNO RITMI;28625;4;45;13/02/2026;11/03/2026;17/03/2026;Normal;;;SEM10
REST1600.1;AGASALHO MANGA LONGA TEXTURIZADO;RITMI STUDIO;33419 - INTERNO RITMI;28762;83;38;20/02/2026;25/03/2026;25/03/2026;Normal;;;DIFICULDADE MODELO ...
REST1600.2;CALÇA CENOURA TEXTURIZADA;RITMI STUDIO;33419 - INTERNO RITMI;28763;78;38;20/02/2026;24/03/2026;25/03/2026;Normal;;;PASSADO PELA CRONO.
REST1600.2;CALÇA CENOURA TEXTURIZADA;RITMI STUDIO;33419 - INTERNO RITMI;28763;3;38;20/02/2026;24/03/2026;27/03/2026;Normal;;;PASSADO PELA CRONO.
REST1604;BLUSA  COM BABADO;RITMI STUDIO;33419 - INTERNO RITMI;28323;54;67;22/01/2026;23/03/2026;25/03/2026;Normal;;;sem.07
REST1604;BLUSA  COM BABADO;RITMI STUDIO;33419 - INTERNO RITMI;28323;12;67;22/01/2026;23/03/2026;26/03/2026;Normal;;;sem.07
REST1605;CALÇA JEANS RETA 201409;RITMI STUDIO;33419 - INTERNO RITMI;28735;140;39;19/02/2026;19/03/2026;19/03/2026;Normal;;;JEANS
REST1606;CALÇA JEANS BAGGY COLOR 201294;RITMI STUDIO;44359 - POP TEXTIL LTDA;28728;76;39;19/02/2026;19/03/2026;19/03/2026;Normal;;;JEANS
REST1607;CALÇA JEANS WIDE 2106;RITMI STUDIO;44359 - POP TEXTIL LTDA;28729;73;39;19/02/2026;19/03/2026;20/03/2026;Normal;;;JEANS
REST1607;CALÇA JEANS WIDE 2106;RITMI STUDIO;44359 - POP TEXTIL LTDA;28729;41;39;19/02/2026;19/03/2026;21/03/2026;Normal;;;JEANS
REST1608;CALÇA JEANS BALLON 201462;RITMI STUDIO;44359 - POP TEXTIL LTDA;28730;79;39;19/02/2026;19/03/2026;21/03/2026;Normal;;;JEANS
REST1608;CALÇA JEANS BALLON 201462;RITMI STUDIO;44359 - POP TEXTIL LTDA;28730;7;39;19/02/2026;19/03/2026;24/03/2026;Normal;;;JEANS
REST1609;CALÇA JEANS MOM 1866;RITMI STUDIO;33419 - INTERNO RITMI;28731;86;39;19/02/2026;19/03/2026;20/03/2026;Normal;;;JEANS
REST1609;CALÇA JEANS MOM 1866;RITMI STUDIO;33419 - INTERNO RITMI;28731;43;39;19/02/2026;19/03/2026;21/03/2026;Normal;;;JEANS
REST1611;BLUSA MANGA LONGA COM DETALHE EM TORCIDOS;RITMI STUDIO;33419 - INTERNO RITMI;28923;44;26;04/03/2026;25/03/2026;25/03/2026;Normal;;;
REST1611;BLUSA MANGA LONGA COM DETALHE EM TORCIDOS;RITMI STUDIO;33419 - INTERNO RITMI;28923;36;26;04/03/2026;25/03/2026;27/03/2026;Normal;;;
REST1615;VESTIDO MIDI FRANZIDO FRENTE;RITMI STUDIO;33419 - INTERNO RITMI;28902;55;27;03/03/2026;26/03/2026;26/03/2026;Normal;;;
REST1615;VESTIDO MIDI FRANZIDO FRENTE;RITMI STUDIO;33419 - INTERNO RITMI;28902;31;27;03/03/2026;26/03/2026;27/03/2026;Normal;;;
REST1622;CAMISETA LISTRADA MARTINGALE MANGA;RITMI STUDIO;33419 - INTERNO RITMI;28851;48;31;27/02/2026;24/03/2026;24/03/2026;Normal;;;
REST1622;CAMISETA LISTRADA MARTINGALE MANGA;RITMI STUDIO;33419 - INTERNO RITMI;28851;54;31;27/02/2026;24/03/2026;25/03/2026;Normal;;;
REST1622;CAMISETA LISTRADA MARTINGALE MANGA;RITMI STUDIO;33419 - INTERNO RITMI;28851;1;31;27/02/2026;24/03/2026;26/03/2026;Normal;;;
REST1643;REGATA DE ALÇAS COM RENDA;RITMI STUDIO;33419 - INTERNO RITMI;28514;33;49;09/02/2026;06/03/2026;10/03/2026;Normal;;;sem.09
REST1643;REGATA DE ALÇAS COM RENDA;RITMI STUDIO;33419 - INTERNO RITMI;28514;18;49;09/02/2026;06/03/2026;11/03/2026;Normal;;;sem.09
;;;;;;;;;;;;;
;;;;;;;;;;;;;
"Total de peças (25 - ACABAMENTO): 10.230			Total de ref.: 111 		Total de OPs : 115";;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Quantidade geral de peças;:;10.230;;;;;;;;;;;
Quantidade geral de referências;:;111;;;;;;;;;;;
Quantidade geral de OPs;:;115;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
V. Genesis;;;;;;;;;;;;;
(prirelaba02.php);;;;;;;;;;;;;
